시군구,시장명,점포명,점포(ID),분류,소재지도로명주소,소재지지번주소,위도,경도,전화번호,홈페이지,배달서비스,취급품목,주력상품,비고,데이터기준일자
서구,양동시장,광성수산,936,수산물,광주광역시 서구 천변좌로 262,광주광역시 서구 양동 5,35.15385858,126.9029272,062-363-3038,,N,수산물,"홍어 무침, 굴비",,44445
서구,양동시장,백운상회,938,수산물,광주광역시 서구 천변좌로 238,광주광역시 서구 양동 5-350,35.15390555,126.9028623,062-364-1719,,N,수산물,홍어,,44445
서구,양동시장,양동상회,939,수산물,광주광역시 서구 천변좌로 238,광주광역시 서구 양동 5-350,35.15393205,126.9028329,062-362-1763,,N,수산물,"홍어,빙어",,44445
서구,양동시장,종아상회,940,수산물,광주광역시 서구 천변좌로 238,광주광역시 서구 양동 5-350,35.15393325,126.902827,062-361-4447,,N,수산물,"홍어,굴비,해산물",,44445
서구,양동시장,풍년제사마트,941,도소매,광주광역시 서구 천변좌로 238,광주광역시 서구 양동 5-350,35.15395734,126.9028005,062-363-6993,,N,도소매,"폐백, 시제제사음식",,44445
서구,양동시장,덕양수산,942,수산물,광주광역시 서구 천변좌로 238,광주광역시 서구 양동 5-350,35.15397059,126.9027857,062-364-0406,,N,수산물,"킹크랩,대게,전어",,44445
서구,양동시장,제일상회,943,도소매,광주광역시 서구 천변좌로 262,광주광역시 서구 양동 5,35.15398023,126.9027636,062-365-8949,,N,도소매,"가지, 감자, 당근",,44445
서구,양동시장,AsianMart,944,도소매,광주광역시 서구 천변좌로 262,광주광역시 서구 양동 5,35.15397902,126.9027622,,,N,도소매,해외 식료품,,44445
서구,양동시장,인암농산,947,도소매,광주광역시 서구 천변좌로 238 653-654호 인암농산,광주광역시 서구 양동 5-101 653-654호 인암농산,35.15400913,126.9027209,062-365-8025,,N,도소매,깐마늘,,44445
서구,양동시장,현대상회,948,도소매,광주광역시 서구 천변좌로 238,광주광역시 서구 양동 5-101,35.15401756,126.902715,062-365-6784,,N,도소매,"상추, 오이, 호박, 배추",,44445
서구,양동시장,준경상회,949,도소매,광주광역시 서구 천변좌로 238,광주광역시 서구 양동 5-101,35.15402599,126.9027003,062-364-8200,,N,도소매,"고사리,대파, 도라지",,44445
서구,양동시장,오복식육점,950,도소매,광주광역시 서구 천변좌로 238,광주광역시 서구 양동 5-101,35.15404647,126.9026679,062-369-3121,,N,도소매,돼지고기,,44445
서구,양동시장,중앙한우마트,951,도소매,광주광역시 서구 천변좌로 238,광주광역시 서구 양동 5-101,35.15410789,126.9026266,,,N,도소매,소고기,,44445
서구,양동시장,대명유통,952,도소매,광주광역시 서구 천변좌로 238,광주광역시 서구 양동 5-350,35.15409344,126.902609,062-364-3993,,N,도소매,돼지고기,,44445
서구,양동시장,형제상회,953,도소매,광주광역시 서구 천변좌로 262,광주광역시 서구 양동 5,35.15413921,126.90255,062-364-9088,,N,도소매,수산물,,44445
서구,양동시장,일등홍어,954,도소매,광주광역시 서구 천변좌로 262,광주광역시 서구 양동 5,35.15415607,126.902528,062-363-5354,,N,도소매,수산물,,44445
서구,양동시장,장안수산,955,도소매,광주광역시 서구 천변좌로 262,광주광역시 서구 양동 5,35.15416089,126.9025147,062-369-5502,,N,도소매,수산물,,44445
서구,양동시장,거풍수산,956,도소매,광주광역시 서구 천변좌로 238,광주광역시 서구 양동 5-350,35.15417534,126.9024572,062-366-9530,,N,도소매,수산물,,44445
서구,양동시장,광주상회,957,도소매,광주광역시 서구 천변좌로 238,광주광역시 서구 양동 5-101,35.15419581,126.9024248,062-365-8626,,N,도소매,농수산물,,44445
