시군구,시장명,점포명,점포(ID),분류,소재지도로명주소,소재지지번주소,위도,경도,전화번호,홈페이지,배달서비스,취급품목,주력상품,비고,데이터기준일자
북구,말바우시장,영암상회,525,도소매,광주광역시 북구 동문대로 87-1,광주광역시 북구 우산동 231-67,35.17174218,126.9232227,062-267-0414,,N,식료품,"식료품, 생활용품",,2021-09-13
북구,말바우시장,광명축산,526,도소매,광주광역시 북구 동문대로 87-2,광주광역시 북구 우산동 231-49,35.17176757,126.9234066,,,N,축산물,"갈비, 삼겹살",,2021-09-13
북구,말바우시장,행복한떡집,527,도소매,광주광역시 북구 동문대로 87-2,광주광역시 북구 우산동 231-49,35.17175409,126.9233877,062-222-0746,,N,"떡, 한과","떡케익, 개업떡",,2021-09-13
북구,말바우시장,나일약국,528,도소매,광주광역시 북구 동문대로 95,광주광역시 북구 우산동 231-15,35.17219602,126.9239651,062-264-1558,,N,의약품,의약품,,2021-09-13
북구,말바우시장,청송말바우수퍼,529,도소매,광주광역시 북구 동문대로 97,광주광역시 북구 우산동 231-13,35.17229396,126.9241212,062-261-7345,,N,잡화,"담배, 꽃",,2021-09-13
북구,말바우시장,광일열쇠,530,도소매,광주광역시 북구 동문대로 101,광주광역시 북구 우산동 208-27,35.17254538,126.9243499,062-266-1472,,N,"열쇠, 공구","열쇠, 타일, 공구",,2021-09-13
북구,말바우시장,이브자리코디센 우산점,531,도소매,광주광역시 북구 동문대로 103,광주광역시 북구 우산동 208-10,35.17276665,126.9245859,062-262-8086,https://www.instagram.com/evezary_usan/,Y,"침구, 커튼",침구,,2021-09-13
북구,말바우시장,한국인삼,532,도소매,광주광역시 북구 동문대로 109,광주광역시 북구 우산동 208-26,35.17309619,126.9249746,,,N,건강기능보조식품,"토종꿀, 홍삼",,2021-09-13
북구,말바우시장,정성약국,533,도소매,광주광역시 북구 동문대로 115,광주광역시 북구 우산동 207-9,35.17351748,126.9253181,062-266-4100,,N,의약품,의약품,,2021-09-13
북구,말바우시장,트라이,534,도소매,광주광역시 북구 서방로 81,광주광역시 북구 우산동 189-56,35.1728734,126.9203378,062-252-3745,,N,도소매,"바지,속옷",,2021-09-13
북구,말바우시장,모아신발,535,도소매,광주광역시 북구 서방로 81,광주광역시 북구 우산동 189-56,35.17286297,126.920337,062-262-8154,,N,도소매,신발,,2021-09-13
북구,말바우시장,옹구건강원,536,도소매,광주광역시 북구 서방로 81,광주광역시 북구 우산동 189-56,35.17285254,126.9203338,062-265-0492,,N,도소매,고추,,2021-09-13
북구,말바우시장,명인수산,537,수산물,광주광역시 북구 동문대로85번길 62(우산동),광주광역시 북구 우산동 185-23,35.17284406,126.9203306,,,N,수산물,목포참조기,,2021-09-13
북구,말바우시장,순창한우,538,축산물,광주광역시 북구 서방로81번길 5,광주광역시 북구 우산동 189-40,35.17282972,126.920329,062-268-1231,,N,축산물,"꽃등심,등심,소양",,2021-09-13
북구,말바우시장,일조방앗간,539,방앗간,광주광역시 북구 서방로81번길 5,광주광역시 북구 우산동 189-40,35.17283168,126.9203314,062-264-3089,,N,방앗간,"참기름,들기름,들깨가루",,2021-09-13
북구,말바우시장,연하소머리국밥,540,반찬가게,광주광역시 북구 서방로81번길 7,광주광역시 북구 우산동 189-39,35.17282777,126.9203298,,,N,반찬가게,소머리국밥,,2021-09-13
북구,말바우시장,대박돈까스,541,음식점,광주광역시 북구 서방로81번길 7,광주광역시 북구 우산동 189-39,35.17288122,126.9203529,062-251-0678,,N,음식점,수제돈까스,,2021-09-13
북구,말바우시장,신안염산젓갈,542,도소매,광주광역시 북구 동문대로85번길 62(우산동),광주광역시 북구 우산동 185-23,35.17289491,126.9203561,,,N,도소매,젓갈,,2021-09-13
북구,말바우시장,알뜰그릇,543,도소매,광주광역시 북구 서방로81번길 9,광주광역시 북구 우산동 189-38,35.17286232,126.9203266,062-265-2715,,N,도소매,그릇,,2021-09-13
북구,말바우시장,명성참기름 1호점,544,도소매,광주광역시 북구 서방로81번길 15,광주광역시 북구 우산동 189-31,35.17285319,126.9203266,,,N,도소매,"새싹보리,율무,찰보리쌀",,2021-09-13
북구,말바우시장,우정참기름,545,도소매,광주광역시 북구 동문대로85번길 62(우산동),광주광역시 북구 우산동 185-23,35.17282255,126.9203298,,,N,도소매,"귀리,콩가루",,2021-09-13
북구,말바우시장,유명축산,546,축산물,광주광역시 북구 동문대로85번길 62(우산동),광주광역시 북구 우산동 185-23,35.17289765,126.9203446,062-265-8706,,N,축산물,"꽃등심,등심",,2021-09-13
북구,말바우시장,명성참기름 3호점,547,도소매,광주광역시 북구 동문대로85번길 62(우산동),광주광역시 북구 우산동 185-23,35.17289107,126.9203339,062-266-5315,,N,도소매,"해바라기씨,호박씨,호두",,2021-09-13
북구,말바우시장,한빛축산,548,축산물,광주광역시 북구 서방로81번길 17,광주광역시 북구 우산동 189-30,35.17287298,126.9203258,062-261-6160,,N,축산물,"갈비,목살,안심,삼겹살",,2021-09-13
북구,말바우시장,고흥어부네수산,549,수산물,광주광역시 북구 동문대로85번길 7,광주광역시 북구 우산동 232-3,35.17171107,126.922746,062-262-3777,,N,수산물,"전어, 전어회",,2021-09-13
북구,말바우시장,생약초,550,도소매,광주광역시 북구 동문대로85번길 7,광주광역시 북구 우산동 232-3,35.17169752,126.9227537,,,N,약초,"두춧, 둥글래",,2021-09-13
북구,말바우시장,말바우버섯,551,소매,광주광역시 북구 서방로 84,광주광역시 북구 우산동 254-2,35.17118511,126.9215574,062-515-9956,,N,임업,"느타리 버섯, 송이 버섯",,2021-09-13
북구,말바우시장,미성팥죽,552,음식점,광주광역시 북구 동문대로 83-1,광주광역시 북구 우산동 232-5,35.17158568,126.9229749,062-266-8187,,N,음식점,팥죽,,2021-09-13
북구,말바우시장,금농상회,553,도소매,광주광역시 북구 동문대로 83-1,광주광역시 북구 우산동 232-5,35.17158349,126.9229675,062-266-6402,,N,도소매,"고추, 녹두, 팥, 백태",,2021-09-13
북구,말바우시장,남형신쌀집,554,도소매,광주광역시 북구 동문대로 83-1,광주광역시 북구 우산동 232-5,35.1715791,126.9229695,,,N,곡류,"찰보리쌀, 보리쌀, 팥",,2021-09-13
북구,말바우시장,방충야채,555,소매,광주광역시 북구 동문대로 83-1,광주광역시 북구 우산동 232-5,35.17157417,126.9229722,,,N,야채,"배추,감자,양파",,2021-09-13
북구,말바우시장,여수수산,556,도소매,광주광역시 북구 동문대로 83-2,광주광역시 북구 우산동 232-5,35.17158513,126.9229574,,,N,수산물,"굴비,전어,오징어",,2021-09-13
북구,말바우시장,자연수산,557,도소매,광주광역시 북구 동문대로 83-1,광주광역시 북구 우산동 232-5,35.17157855,126.9229641,,,N,수산물,"대하, 조기",,2021-09-13
북구,말바우시장,제일전집,558,반찬,광주광역시 북구 동문대로85번길 8,광주광역시 북구 우산동 231-70,35.17178258,126.9229567,062-265-2831,,N,한정식,전,,2021-09-13
북구,말바우시장,짱구네축산물,559,축산물,광주광역시 북구 동문대로85번길 8,광주광역시 북구 우산동 231-70,35.17178198,126.9229537,062-262-7707,,N,축산물,돼지고기,,2021-09-13
북구,말바우시장,행복떡집,560,떡방앗간,광주광역시 북구 동문대로85번길 5,광주광역시 북구 우산동 232-4,35.17178561,126.9229471,,,N,"떡, 한과","송편, 쑥떡, 시루떡",,2021-09-13
북구,말바우시장,부산충무수산,561,수산물,광주광역시 북구 동문대로85번길 8,광주광역시 북구 우산동 231-70,35.17178622,126.9229641,,,N,수산물,활어,,2021-09-13
북구,말바우시장,화정방앗간,562,방앗간,광주광역시 북구 동문대로85번길 12,광주광역시 북구 우산동 231-72,35.171953,126.9228245,062-264-0186,,N,곡류,"검정깨,메주콩",,2021-09-14
북구,말바우시장,대하당한약,563,한약방,광주광역시 북구 동문대로85번길 14,광주광역시 북구 우산동 231-73,35.17198418,126.922738,062-266-3375,,N,한약,"산수유환,민들레,강황한",,2021-09-14
북구,말바우시장,민도수산,564,수산물,광주광역시 북구 동문대로85번길 14,광주광역시 북구 우산동 231-73,35.17198308,126.9227474,,,N,수산물,"전어, 굴비",,2021-09-14
북구,말바우시장,삼성당한약,565,한약방,광주광역시 북구 동문대로85번길 14,광주광역시 북구 우산동 231-73,35.17197267,126.922744,062-266-4070,,N,한약,"우슬,여주환,여주",,2021-09-14
북구,말바우시장,신성축산물할인점,566,축산물,광주광역시 북구 동문대로85번길 14,광주광역시 북구 우산동 231-73,35.17197486,126.9227393,,,N,축산물,돼지고기,,2021-09-14
북구,말바우시장,알로에수산,567,수산물,광주광역시 북구 동문대로85번길 14,광주광역시 북구 우산동 231-73,35.17197651,126.9227326,,,N,수산물,전어,,2021-09-14
북구,말바우시장,식육점,568,축산물,광주광역시 북구 동문대로85번길 18,광주광역시 북구 우산동 231-75,35.17216117,126.9225566,062-251-4887,,N,축산물,돼지고기,,2021-09-14
북구,말바우시장,자생건강약초,569,도소매,광주광역시 북구 동문대로85번길 20,광주광역시 북구 우산동 231-76,35.17215678,126.9225492,062-470-0039,,N,도소매,"엄나무,옻나무",,2021-09-14
북구,말바우시장,천연간수로 만든 두부,570,소매,광주광역시 북구 동문대로85번길 18,광주광역시 북구 우산동 231-75,35.17216172,126.9225465,,,N,소매,두부,,2021-09-14
북구,말바우시장,희망건강원,571,도소매,광주광역시 북구 서방로73번길 42,광주광역시 북구 우산동 191-16,35.17356993,126.9215829,062-265-5084,,N,건강기능보조식품,"흑염소, 배즙",,2021-09-14
북구,말바우시장,말바우얼음,572,도소매,광주광역시 북구 서방로73번길 39,광주광역시 북구 우산동 183-5,35.17362265,126.9213504,062-265-4350,,N,얼음,"얼음, 스티로폼박스",,2021-09-14
북구,말바우시장,말바우옹기,573,도소매,광주광역시 북구 동문대로97번길 55,광주광역시 북구 우산동 190-1,35.17293618,126.9213886,,,N,"옹기, 화분","옹기, 화분",,2021-09-14
북구,말바우시장,분식,574,음식점,광주광역시 북구 동문대로97번길 55,광주광역시 북구 우산동 190-1,35.17292499,126.9213975,,,N,분식,김밥,,2021-09-14
북구,말바우시장,명성한방건강원,575,도소매,광주광역시 북구 서방로73번길 31,광주광역시 북구 우산동 184-10,35.17329376,126.9212165,062-524-1249,,N,건강기능보조식품,"흑염소, 건어물",,2021-09-14
북구,말바우시장,센스가방,576,도소매,광주광역시 북구 동문대로97번길 55,광주광역시 북구 우산동 190-1,35.17293371,126.92137,062-251-0303,,N,잡화,"가방, 지갑, 벨트",,2021-09-14
북구,말바우시장,말바우야채,577,도소매,광주광역시 북구 동문대로97번길 7,광주광역시 북구 우산동 231-9,35.17292499,126.9213789,,,N,채소,각종 채소,,2021-09-14
북구,말바우시장,장마당식당,578,음식점,광주광역시 북구 동문대로97번길 55,광주광역시 북구 우산동 190-1,35.17293007,126.9213931,,,N,한식,찌개류,,2021-09-14
북구,말바우시장,여수수산홍어전문점,579,도소매,광주광역시 북구 동문대로97번길 55,광주광역시 북구 우산동 190-1,35.17292789,126.9213824,062-267-9038,,Y,수산물,홍어,,2021-09-14
북구,말바우시장,문암방앗간,580,도소매,광주광역시 북구 서방로73번길 29,광주광역시 북구 우산동 184-11,35.17319518,126.9211822,062-263-5278,,N,"참기름, 들깨","참기름, 들기름, 고추가루",,2021-09-14
북구,말바우시장,우리수산,581,도소매,광주광역시 북구 동문대로97번길 55,광주광역시 북구 우산동 190-1,35.17294242,126.9213966,,,N,수산물,"갈치, 조기, 고등어",,2021-09-14
북구,말바우시장,포미나란제리,582,도소매,광주광역시 북구 중문로10번길 49,광주광역시 북구 우산동 184-12,35.17308758,126.9211484,,,N,의류,"속옷, 양말",,2021-09-14
북구,말바우시장,해담수산,583,도소매,광주광역시 북구 동문대로97번길 55,광주광역시 북구 우산동 190-1,35.17293879,126.9213647,,,N,수산물,"갈치, 조기",,2021-09-14
북구,말바우시장,풍미식육점,584,도소매,광주광역시 북구 서방로81번길 27,광주광역시 북구 우산동 190-2,35.17295187,126.921378,062-262-7309,,N,축산물,"머리고기, 한우",,2021-09-14
북구,말바우시장,동신닭오리건강원,585,도소매,광주광역시 북구 중문로10번길 49,광주광역시 북구 우산동 184-12,35.17308484,126.9211518,062-266-0527,,N,건강기능보조식품,"닭발, 촌닭",,2021-09-14
북구,말바우시장,영애수산,586,도소매,광주광역시 북구 중문로10번길 52,광주광역시 북구 우산동 185-8,35.17292554,126.9211087,,,N,수산물,"갈치, 조기",,2021-09-14
북구,말바우시장,장성건어물,587,도소매,광주광역시 북구 동문대로85번길 62(우산동),광주광역시 북구 우산동 185-23,35.17287135,126.9203367,,,N,도소매,"고구마,멸치,다시마",,2021-09-14
북구,말바우시장,장성한우,588,정육점,광주광역시 북구 동문대로85번길 23,광주광역시 북구 우산동 189-29,35.17286367,126.920338,062-262-2169,,N,정육점,"소고기,돼지고기",,2021-09-14
북구,말바우시장,희영상회,589,도소매,광주광역시 북구 동문대로85번길 62(우산동),광주광역시 북구 우산동 185-23,35.17286093,126.9203374,,,N,도소매,고추,,2021-09-14
북구,말바우시장,윤화상회,590,도소매,광주광역시 북구 동문대로85번길 62(우산동),광주광역시 북구 우산동 185-23,35.17286751,126.920328,,,N,도소매,"시금치,쪽파,생강",,2021-09-14
북구,말바우시장,고사리,591,도소매,광주광역시 북구 동문대로85번길 62(우산동),광주광역시 북구 우산동 185-23,35.1728571,126.9203307,,,N,도소매,"마늘,쪽파",,2021-09-14
북구,말바우시장,바우바우,592,도소매,광주광역시 북구 동문대로85번길 62(우산동),광주광역시 북구 우산동 185-23,35.1728549,126.9203394,,,N,도소매,"도라지,더덕",,2021-09-14
북구,말바우시장,우산상회,593,도소매,광주광역시 북구 동문대로85번길 62(우산동),광주광역시 북구 우산동 185-23,35.17284942,126.9203387,,,N,도소매,고추,,2021-09-14
북구,말바우시장,말바우쌀집,594,도소매,광주광역시 북구 동문대로85번길 62(우산동),광주광역시 북구 우산동 185-23,35.17287957,126.9203447,,,N,도소매,"현미,귀리,햇보리",,2021-09-14
북구,말바우시장,서방상회,595,도소매,광주광역시 북구 동문대로85번길 62(우산동),광주광역시 북구 우산동 185-23,35.17286751,126.9203286,,,N,도소매,"귀리,흰콩,찰수수,찹쌀",,2021-09-14
북구,말바우시장,대경수산,596,도소매,광주광역시 북구 동문대로85번길 62(우산동),광주광역시 북구 우산동 185-23,35.17286806,126.9203179,,,N,도소매,"햇사과,마늘,배,바나나",,2021-09-14
북구,말바우시장,과역수산,597,도소매,광주광역시 북구 동문대로85번길 62(우산동),광주광역시 북구 우산동 185-23,35.17287464,126.9203072,,,N,도소매,"조기,꼬막",,2021-09-14
북구,말바우시장,할머니고추,598,도소매,광주광역시 북구 동문대로85번길 62(우산동),광주광역시 북구 우산동 185-23,35.17288505,126.9202965,062-266-9703,,N,도소매,"돈부,겉보리,상주,고추",,2021-09-14
북구,말바우시장,명성고추,599,도소매,광주광역시 북구 동문대로85번길 62(우산동),광주광역시 북구 우산동 185-23,35.17288121,126.9202911,,,N,도소매,고추,,2021-09-14
북구,말바우시장,익산상회,600,도소매,광주광역시 북구 동문대로85번길 62(우산동),광주광역시 북구 우산동 185-23,35.17287628,126.9202884,,,N,도소매,"더덕,올벼반되,누룽지",,2021-09-14
북구,말바우시장,신안지도수산,601,수산물,광주광역시 북구 동문대로85번길 62(우산동),광주광역시 북구 우산동 185-23,35.17287518,126.9202844,,,Y,수산물,"낙지,문어,장어,전복",,2021-09-14
북구,말바우시장,말바우그횟집,602,생선회,광주광역시 북구 동문대로85번길 64,광주광역시 북구 우산동 185-24,35.17286477,126.9202871,,,N,생선회,"가울전어,숭어",,2021-09-14
북구,말바우시장,궁중명가,603,도소매,광주광역시 북구 동문대로85번길 64,광주광역시 북구 우산동 185-24,35.17286039,126.920283,062-268-5125,,N,떡집,"떡케익,폐백",,2021-09-14
